Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
2008-02-14 04:44:34,1202960674,a,21.52,-41.45,1348.86,-38.7,-2.75,0.645,20.80,2.18,3.64,11.77,11.38,5.17,18.54,13.756,12140000000.0,12090000000.0,,1.02,2.23,14.966,2.23,2970000000.0,14.966,638000000.0,1.57,20.80,8.90,1830000000.0,4.916,2089999999.9999998,2.207,8.741,969000000.0,1.45,1.49,72.50,4890000.0,1.7,1.30,3640000.0,0
2008-04-26 04:49:23,1209178163,a,21.18,-47.17,1379.9301,-38.26,-8.910000000000004,0.67,20.59,2.07,3.65,10.99,11.30,5.33,17.80,14.362,11510000000.0,12080000000.0,,1.00,2.18,14.748,2.18,2970000000.0,14.748,608000000.0,1.53,20.00,8.80,1560000000.0,4.265,2130000000.0,1.896,8.622,880000000.0,1.46,4.68,68.30,5420000.0,2.1,1.50,,0
2008-12-06 19:21:33,1228587693,a,12.42,63.12,870.74,26.32,36.8,0.83,9.24,1.06,2.40,12.00,13.77,6.63,23.93,15.906,6040000000.0,6740000000.0,,0.64,1.17,6.764,1.17,2970000000.0,6.764,693000000.0,1.87,28.30,2.40,1430000000.0,4.083,2130000000.0,2.421,7.311,756000000.0,1.33,1.59,75.90,4340000.0,1.6,1.20,4420000.0,1
2009-08-02 05:46:24,1249184784,a,15.8,24.43,986.75,14.1,10.33,N/A,22.83,1.53,3.29,7.01,11.21,5.10,13.02,14.659,8710000000.0,8710000000.0,,3.04,1.68,11.422,1.68,3200000000.0,11.422,363000000.0,1.02,,25.10,1410000000.0,4.112,2150000000.0,2.623,7.045,581000000.0,1.25,0.26,78.60,9890000.0,3.2,2.90,8440000.0,1
2011-08-02 06:45:37,1312260337,a,26.57,-1.51,1254.05,9.67,-11.18,54.36,16.18,2.38,3.71,14.46,14.80,6.94,27.00,17.77,13850000000.0,13850000000.0,12.44,0.63,2.25,11.89,2.25,2930000000.0,11.89,890000000.0,2.52,85.20,31.90,2980000000.0,8.55,2150000000.0,3.20,11.36,13850000000.0,1.55,0.25,82.10,4360000.0,1.20,1.40,5420000.0,0
2011-11-08 05:04:16,1320725056,a,26.44,-2.31,1275.92,9.3,-11.610000000000001,51.62,13.17,1.98,3.06,15.71,16.01,7.25,28.96,18.67,12170000000.0,12170000000.0,12.06,0.66,1.88,9.42,1.88,2930000000.0,9.42,1020000000.0,2.87,61.00,22.20,3100000000.0,8.93,2170000000.0,3.47,12.07,12170000000.0,1.61,0.25,82.10,4500000.0,0.80,N/A,4139999.9999999995,0
2013-05-14 00:28:58,1368484138,a,30.38,28.28,1650.34,14.43,13.850000000000001,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,15060000000.0,15060000000.0,13.08,2.07,2.18,10.75,2.18,3600000000.0,10.75,1100000000.0,3.13,22.20,2.80,2450000000.0,7.06,2360000000.0,2.55,15.41,1320000000.0,1.66,0.23,83.20,4370000.0,1.20,1.30,3080000.0,1
2013-09-06 06:09:52,1378440592,a,32.86,23.58,1655.17,20.88,2.6999999999999993,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.80,15860000000.0,15860000000.0,15.09,2.16,2.32,11.93,2.32,3600000000.0,11.93,938000000.0,2.69,30.90,4.10,2330000000.0,7.04,2700000000.0,2.96,14.46,1260000000.0,1.81,0.23,83.50,2780000.0,1.20,0.80,3300000.0,0
2004-04-13 04:20:10,1081822810,aa,,,1129.4399,3.93,,0.595,24.92,1.33,2.41,6.40,8.44,4.52,10.66,25.638,29780000000.0,36340000000.0,12.98,1.26,1.65,10.8,1.65,4019999999.9999995,10.8,1190000000.0,1.375,53.70,11.40,459000000.0,0.53,7310000000.0,1.374,14.078,2530000000.0,1.808,1.00,79.36,12540000.0,2.497,1.46,12700000.0,0
2004-09-09 16:15:45,1094739345,aa,,,1118.38,11.01,,0.561,20.88,1.26,2.34,7.04,9.46,5.08,11.87,25.984,28610000000.0,35240000000.0,12.75,1.43,1.56,9.7,1.56,4019999999.9999995,9.7,1370000000.0,1.575,53.70,11.40,466000000.0,0.54,6880000000.0,1.372,14.049,1780000000.0,1.676,1.00,76.64,7780000.0,1.935,0.90,7930000.0,0
2004-11-24 10:37:20,1101289040,aa,,,1181.76,6.18,,0.53,21.15,1.26,2.34,7.01,9.57,5.13,11.58,26.536,29230000000.0,35370000000.0,13.49,1.47,1.52,9.53,1.52,4019999999.9999995,9.53,1390000000.0,1.588,53.70,11.40,561000000.0,0.64,6650000000.0,1.293,14.36,2140000000.0000002,1.736,1.04,77.19,9910000.0,2.209,1.15,10140000.0,0
2004-12-05 00:36:42,1102203402,aa,,,1190.33,6.03,,0.53,20.69,1.25,2.33,7.01,9.57,5.13,11.58,26.536,28600000000.0,34750000000.0,13.20,1.50,1.49,9.36,1.49,4019999999.9999995,9.36,1390000000.0,1.588,53.70,11.40,561000000.0,0.64,6650000000.0,1.293,14.36,2140000000.0000002,1.736,1.04,77.11,9910000.0,2.209,1.15,10140000.0,0
2005-01-13 07:18:32,1105597112,aa,,,1177.45,9.36,,0.457,18.43,1.10,1.95,7.02,9.39,5.12,11.17,26.757,25630000000.0,31510000000.0,11.96,1.12,1.34,8.57,1.34,4019999999.9999995,8.57,1400000000.0,1.597,53.70,11.40,457000000.0,0.52,6080000000.0,1.322,15.207,2140000000.0000002,1.611,1.04,77.16,12810000.0,2.918,1.49,9910000.0,0
2005-02-07 03:48:37,1107744517,aa,,,1201.72,4.42,,0.457,18.39,1.08,1.92,7.02,9.39,5.12,11.17,26.757,25580000000.0,31260000000.0,11.89,1.39,1.33,8.5,1.33,4019999999.9999995,8.5,1400000000.0,1.60,53.70,11.40,457000000.0,0.52,6080000000.0,1.322,15.207,2140000000.0000002,1.611,1.04,75.67,11840000.0,1.892,1.37,12810000.0,0
2005-05-22 08:48:23,1116744503,aa,,,1191.08,5.96,,0.543,N/A,N/A,1.81,,,0.00,0.00,N/A,23940000000.0,51030000000.0,11.83,1.38,N/A,N/A,N/A,4860000000.0,N/A,N/A,N/A,39.70,9.20,497000000.0,0.57,7280000000.0,1.131,15.305,1630000000.0,1.705,0.99,78.45,15160000.0,2.902,1.76,11970000.0,0
2006-06-20 04:32:21,1150770741,aa,,,1240.12,21.99,,0.526,16.15,0.96,1.89,5.82,9.51,4.73,11.56,31.183,25320000000.0,32240000000.000004,,0.80,1.19,8.36,1.19,4940000000.0,8.36,1580000000.0,1.80,133.80,16.40,459000000.0,0.528,7330000000.0,1.183,15.945,1700000000.0,2.3,0.26,78.70,15800000.0,1.80,1.80,12880000.0,0
2007-01-25 19:09:37,1169748577,aa,,,1423.9,-6.55,,0.494,12.25,0.91,1.89,7.40,13.71,7.34,15.43,34.966,27300000000.0,34380000000.0,,0.96,1.13,6.313,1.13,4940000000.0,6.313,2160000000.0,2.57,60.30,17.60,506000000.0,0.583,7240000000.0,1.045,16.798,2570000000.0,1.5,0.26,80.40,17750000.0,2.7,2.10,16520000.0,0
2007-02-23 09:03:42,1172217822,aa,,,1451.1899,-6.28,,0.494,13.54,0.99,2.07,7.40,13.60,7.54,15.43,34.959,30150000000.0,37000000000.0,,1.05,1.22,6.662,1.22,4940000000.0,6.662,2160000000.0,2.57,60.30,20.00,506000000.0,0.582,7240000000.0,1.258,16.798,2570000000.0,1.62,0.06,80.30,14360000.0,2.4,1.70,17750000.0,0
2007-05-16 21:12:47,1179342767,aa,,,1514.14,-5.98,,0.494,15.21,1.10,2.22,7.40,13.60,7.54,15.43,34.959,33950000000.000004,36860000000.0,,1.12,1.21,6.637,1.21,7060000000.0,6.637,2160000000.0,2.57,60.30,20.00,506000000.0,0.582,7240000000.0,1.258,17.684,2570000000.0,1.36,0.06,80.30,13620000.0,1.2,1.60,12620000.0,0
2007-06-22 06:39:12,1182487152,aa,,,1502.5601,-10.96,,0.503,15.34,1.12,2.28,7.38,13.66,7.55,15.13,35.896,35080000000.0,42470000000.0,,1.28,1.36,7.472,1.36,7060000000.0,7.472,2220000000.0,2.63,8.90,11.20,420000000.0,0.483,7760000000.0,1.338,17.684,3310000000.0,1.41,0.06,80.90,16800000.0,1.2,1.90,15370000.0,0
2007-10-11 20:57:59,1192129079,aa,,,1554.41,-42.15,,0.47,14.70,1.09,2.04,7.23,13.33,6.91,14.00,36.164,33659999999.999996,41030000000.0,,0.98,1.31,7.512,1.31,7060000000.0,7.512,2190000000.0,2.59,3.90,3.50,1170000000.0,1.321,7900000000.0,1.353,18.978001,3960000000.0,1.48,0.09,78.10,19800000.0,1.4,2.20,15740000.0,0
2008-01-23 16:05:53,1201100753,aa,,,1338.6,-38.18,,0.499,9.51,0.77,1.49,8.34,11.42,5.78,16.78,35.721,23200000000.0,31390000000.0,,0.95,1.02,6.567,1.02,7060000000.0,6.567,2570000000.0,2.95,76.00,5.80,483000000.0,0.584,8000000000.0,1.128,19.291,3110000000.0,1.69,0.22,78.40,13610000.0,1.6,1.60,21040000.0,0
2008-10-28 00:52:22,1225151542,aa,,,940.51,10.86,,0.672,4.28,0.25,0.50,5.91,9.27,4.39,11.25,36.161,7230000000.0,16879999999.999998,,0.42,0.57,4.207,0.57,6500000000.0,4.207,1740000000.0,2.11,51.70,2.10,831000000.0,1.038,10130000000.0,1.316,18.754999,1270000000.0,1.71,0.25,82.80,17010000.0,2.10,2.10,18720000.0,0
2008-12-05 01:03:15,1228435395,aa,,,876.07,26.62,,0.672,3.81,0.25,0.50,5.91,9.12,4.32,11.25,36.138,6450000000.0,16790000000.0,,0.35,0.57,4.231,0.57,6500000000.0,4.231,1740000000.0,2.11,51.70,2.10,831000000.0,1.038,10130000000.0,1.316,18.754999,1270000000.0,2.1,0.25,80.20,47220000.0,5.90,5.90,38210000.0,0
2008-12-06 09:33:46,1228552426,aa,,,870.74,26.32,,0.672,3.86,0.22,0.43,5.91,9.12,4.32,11.25,36.138,6520000000.0,15880000000.0,,0.31,0.54,4.001,0.54,6500000000.0,4.001,1740000000.0,2.11,51.70,2.10,831000000.0,1.038,10130000000.0,1.316,18.754999,1270000000.0,2.1,0.25,80.20,47220000.0,5.90,5.90,38210000.0,0
2008-12-18 10:54:07,1229594047,aa,,,885.28,24.53,,0.672,4.90,0.28,0.55,5.91,9.12,4.32,11.25,36.138,8279999999.999999,17640000000.0,,0.33,0.60,4.445,0.60,6500000000.0,4.445,1740000000.0,2.11,51.70,2.10,831000000.0,1.038,10130000000.0,1.316,18.754999,1270000000.0,2.1,0.25,80.50,61000000.0,1.9,7.60,47220000.0,0
2009-03-09 18:17:50,1236619070,aa,,,676.53,68.57,,N/A,N/A,0.16,0.36,0.28,7.73,3.39,1.65,33.211,4400000000.0,14270000000.0,,N/A,0.53,4.308,0.53,4730000000.0,4.308,227000000.0,0.093,,21.10,762000000.0,0.95,10580000000.0,1.12,14.594,1230000000.0,2.18,0.17,74.80,75380000.0,9.40,9.40,72960000.0,0
2011-09-03 09:21:23,1315034483,aa,,,1218.89,14.82,,48.26,13.78,0.57,0.85,4.04,8.20,3.05,6.55,22.58,20950000000.0,20950000000.0,8.60,0.28,0.89,6.18,0.89,3840000000.0,6.18,949000000.0,0.87,136.80,27.00,1270000000.0,1.19,9350000000.0,1.36,14.66,20950000000.0,2.28,0.09,59.60,53730000.0,1.90,5.10,59140000.0,0
2011-11-02 22:04:47,1320267887,aa,,,1237.9,15.32,,50.93,11.23,0.45,0.74,4.31,8.64,3.41,7.22,23.44,19100000000.0,19100000000.0,10.39,0.34,0.78,5.29,0.78,3840000000.0,5.29,1060000000.0,0.95,182.00,21.40,1340000000.0,1.25,9310000000.0,1.36,13.97,19100000000.0,2.01,0.09,59.60,61460000.0,1.50,5.80,63780000.0,0
2011-11-05 21:29:24,1320524964,aa,,,1237.9,15.32,,50.93,11.47,0.47,0.78,4.31,8.64,3.41,7.22,23.44,19660000000.0,19660000000.0,10.61,0.34,0.80,5.45,0.80,3840000000.0,5.45,1060000000.0,0.95,182.00,21.40,1340000000.0,1.25,9310000000.0,1.36,13.97,19660000000.0,2.01,0.09,59.60,61460000.0,1.50,5.80,63780000.0,0
2012-01-02 19:42:06,1325529726,aa,,,,,,50.93,9.08,0.37,0.62,4.31,8.64,3.41,7.22,23.44,17240000000.0,17240000000.0,9.83,0.47,0.70,4.78,0.70,3840000000.0,4.78,1060000000.0,0.95,182.00,21.40,1340000000.0,1.25,9310000000.0,1.36,13.97,2420000000.0,2.10,0.09,59.60,56860000.0,2.00,5.40,66180000.00000001,0
2012-03-09 07:34:06,1331274846,aa,,,1370.87,12.44,,54.50,17.76,0.41,0.74,2.45,7.16,2.81,4.71,23.52,17900000000.0,17900000000.0,10.18,0.91,0.72,5.48,0.72,4470000000.0,5.48,612000000.0,0.55,N/A,6.00,1940000000.0,1.82,9370000000.0,1.28,12.96,2190000000.0,2.06,0.06,63.40,76870000.0,3.10,N/A,75540000.0,0
2012-03-19 02:24:48,1332120288,aa,,,1409.75,9.83,,54.50,19.16,0.44,0.80,2.45,7.16,2.81,4.71,23.52,18720000000.0,18720000000.0,10.98,1.07,0.75,5.73,0.75,4470000000.0,5.73,612000000.0,0.55,N/A,6.00,1940000000.0,1.82,9370000000.0,1.28,12.96,2190000000.0,2.06,0.06,63.40,71470000.0,3.10,N/A,76870000.0,0
2012-05-19 11:51:52,1337421112,aa,,,1324.8,24.58,,55.28,23.10,0.36,0.64,1.59,5.79,2.23,3.00,23.48,17030000000.000002,17030000000.000002,8.60,1.16,0.68,5.80,0.68,4470000000.0,5.80,398000000.0,0.37,69.50,0.80,1760000000.0,1.65,9740000000.0,1.25,13.21,2190000000.0,1.96,0.06,63.40,72310000.0,2.70,6.80,71660000.0,0
2012-07-29 16:51:57,1343573517,aa,,,1360.02,23.92,,56.42,126.12,0.36,0.64,0.30,3.85,1.45,0.77,22.89,16899999999.999998,16899999999.999998,11.42,2.51,0.69,7.00,0.69,4470000000.0,7.00,69000000.0,0.07,N/A,9.40,1710000000.0,1.61,9540000000.0,1.26,12.75,1930000000.0,1.99,0.07,59.00,91690000.0,3.90,8.60,82160000.0,0
2012-11-27 11:38:14,1354012694,aa,,,1398.9399,29.19,,56.51,N/A,0.37,0.66,1.02,2.08,0.77,1.48,22.33,17020000000.0,17020000000.0,12.21,2.79,0.72,8.68,0.72,4470000000.0,8.68,244000000.0,0.23,N/A,9.10,1430000000.0,1.34,9520000000.0,1.19,12.66,1710000000.0,1.96,0.07,59.70,75970000.0,4.00,7.10,79680000.0,0
2013-01-22 17:52:37,1358873557,aa,,,1492.5601,23.6,,53.49,51.23,0.41,0.73,0.81,2.36,0.87,0.96,22.22,16629999999.999998,16629999999.999998,10.66,1.43,0.70,8.22,0.70,4470000000.0,8.22,191000000.0,0.18,N/A,1.50,1860000000.0,1.74,8830000000.0,1.30,12.30,1500000000.0,1.98,0.07,59.70,68970000.0,4.60,6.50,72010000.0,0
2013-04-23 20:02:57,1366740177,aa,,,1578.78,18.79,,53.21,36.21,0.37,0.65,1.05,3.06,1.11,1.36,22.03,16070000000.0,16070000000.0,10.40,2.60,0.68,7.39,0.68,3210000000.0,7.39,244000000.0,0.22,58.50,2.90,1560000000.0,1.45,8920000000.0,1.20,12.50,1660000000.0,1.86,0.08,58.10,72710000.0,4.90,6.80,69110000.0,0
2013-04-26 20:55:15,1367002515,aa,,,1582.24,18.53,,53.21,36.92,0.38,0.67,1.05,3.06,1.11,1.36,22.03,16399999999.999998,16399999999.999998,10.88,2.87,0.70,7.55,0.70,3210000000.0,7.55,244000000.0,0.22,58.50,2.90,1560000000.0,1.45,8920000000.0,1.20,12.50,1660000000.0,1.86,0.08,58.10,88680000.0,4.50,8.30,72710000.0,0
2013-09-01 04:25:11,1378002311,aa,,,1638.17,22.29,,52.71,64.71,0.36,0.65,0.55,3.31,1.24,0.64,21.91,15820000000.0,15820000000.0,15.40,2.60,0.68,7.10,0.68,3210000000.0,7.10,127000000.0,0.12,N/A,1.90,1210000000.0,1.13,8359999999.999999,1.18,11.93,1640000000.0,1.89,0.07,56.70,109640000.0,7.40,10.30,105150000.0,0
2003-12-07 10:36:10,1070789770,aapl,1.36,211.03,1069.72,11.27,199.76,0.072,112.70,1.25,1.84,1.10,0.02,1.06,1.64,17.077,7650000000.0,3380000000.0,40.67,4.41,0.55,N/A,0.55,1600000000.0,N/A,68000000.0,0.185,,7.10,4570000000.0,12.45,304000000.0,2.498,11.52,,1.742,0.80,64.42,11990000.0,2.356,3.30,13610000.0,1
2004-02-03 07:33:34,1075790014,aapl,1.43,258.04,1136.03,5.03,253.01000000000002,0.07,60.16,1.23,1.92,2.03,1.63,2.08,3.26,18.379,8230000000.0,3830000000.0,38.24,4.02,0.57,34.82,0.57,1710000000.0,34.82,137000000.0,0.371,6.20,8.10,4790000000.0,12.99,302000000.0,2.531,11.74,,1.749,0.83,62.30,14090000.0,1.968,3.85,11660000.0,1
2004-06-03 01:20:38,1086218438,aapl,1.82,169.78,1116.64,7.11,162.67,2.921,63.70,1.49,2.33,2.36,2.31,2.54,3.95,19.326,10990000000.0,6070000000.0,37.08,2.89,0.85,21.08,0.85,1710000000.0,21.08,169000000.0,0.454,6.20,8.10,4590000000.0,12.09,2.921,2.921,12.042,361000000.0,1.701,1.06,66.12,11710000.0,1.978,3.12,17190000.0,1
2004-08-10 02:02:44,1092096164,aapl,2.03,174.38,1079.04,13.91,160.47,2.917,54.40,1.51,2.38,2.76,3.00,3.09,4.78,20.197,11750000000.0,6590000000.0,34.43,2.65,0.86,17.9,0.86,1710000000.0,17.9,211000000.0,0.557,6.20,8.10,4970000000.0,12.8,2.917,2.917,12.493,361000000.0,1.744,1.19,64.33,13030000.0,1.386,3.40,12480000.0,1
2004-10-12 05:40:57,1097552457,aapl,2.46,157.32,1121.84,4.98,152.34,2.917,69.28,1.98,3.13,2.76,3.00,3.09,4.78,20.197,14970000000.0,10190000000.0,41.05,3.38,1.33,27.68,1.33,1710000000.0,27.68,211000000.0,0.557,6.20,8.10,4970000000.0,12.8,2.917,2.917,12.493,564000000.0,1.802,1.19,67.52,14960000.0,2.196,3.90,12800000.0,1
2004-12-04 14:16:51,1102166211,aapl,4.36,111.01,1191.37,6.15,104.86,2.632,88.41,3.08,5.03,3.33,3.94,3.86,6.02,21.419,24540000000.0,20060000000.0,37.09,2.21,2.42,61.54,2.42,1710000000.0,61.54,276000000.0,0.709,6.20,8.10,5460000000.0,13.96,2.632,2.632,12.968,564000000.0,1.775,1.26,72.07,19400000.0,1.508,5.02,12350000.0,1
2005-01-26 15:16:47,1106749007,aapl,4.64,100.43,1174.0699,8.5,91.93,2.581,57.83,2.99,5.03,5.20,6.71,6.62,10.37,24.517,29100000000.0,22700000000.0,30.35,1.71,2.33,34.66,2.33,2260000000.0,34.66,508000000.0,1.244,300.00,33.40,6450000000.0,15.94,2.581,2.581,14.312,934000000.0,1.81,1.47,71.08,14380000.0,0.892,3.61,19400000.0,1
2005-02-04 03:07:08,1107482828,aapl,5.07,91.12,1203.03,6.6,84.52000000000001,2.581,62.55,3.30,5.56,5.20,6.71,6.62,10.37,24.517,31480000000.0,26090000000.0,32.83,1.92,2.67,32.09,2.67,2260000000.0,32.09,508000000.0,1.24,300.00,33.40,6450000000.0,15.78,2.581,2.581,14.312,934000000.0,1.81,1.54,68.75,15590000.0,0.761,3.88,14380000.0,1
2005-03-01 10:36:03,1109669763,aapl,5.72,55.24,1210.41,6.68,48.56,2.581,72.01,1.86,3.11,5.20,6.71,6.63,10.37,12.259,18330000000.0,30210000000.0,18.24,2.06,3.09,37.16,3.09,2260000000.0,37.16,508000000.0,0.62,300.00,33.40,6450000000.0,7.89,2.581,2.581,14.312,1490000000.0,1.8,1.54,74.88,30650000.0,0.87,3.81,31180000.0,1
2005-12-17 11:55:53,1134816953,aapl,9.25,23.03,1272.74,12.0,11.030000000000001,2.956,45.64,4.37,8.07,9.58,11.84,10.52,21.29,17.232,59930000000.0,51670000000.0,,1.77,3.71,28.249,3.71,4040000000.0,28.249,1340000000.0,1.56,305.70,56.50,8260000000.0,9.802,2.956,2.956,8.941,2540000000.0,N/A,1.24,73.20,29370000.0,0.9,3.50,26240000.0,1
2006-01-25 09:43:52,1138178632,aapl,9.54,16.14,1264.6801,12.59,3.5500000000000007,2.404,41.01,3.96,7.67,9.91,12.34,10.60,22.65,19.771,64080000000.0,56750000000.0,,1.70,3.51,26.035,3.51,4040000000.0,26.035,1610000000.0,1.85,91.50,64.70,8710000000.0,10.331,2.404,2.404,9.91,N/A,N/A,1.24,73.20,24860000.0,1.1,3.00,29370000.0,0
2006-02-03 13:49:59,1138970999,aapl,9.23,19.39,1264.03,13.78,5.610000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2006-02-07 09:17:30,1139300250,aapl,8.69,27.39,1254.78,15.56,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2006-02-17 15:01:01,1140184861,aapl,9.03,21.37,1287.24,13.06,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007-02-17 21:52:03,1171745523,aapl,10.96,49.45,1455.3,-7.31,56.760000000000005,N/A,30.74,3.55,6.53,11.74,14.63,11.85,24.77,24.308,73110000000.0,61240000000.0,,1.32,2.96,17.819,2.96,5600000000.0,17.819,2430000000.0,2.76,77.70,23.80,11870000000.0,13.771,N/A,2.271,13.052,3750000000.0,2.4,0.12,68.80,25680000.0,0.7,3.00,24460000.0,1
2007-02-19 17:27:55,1171902475,aapl,10.9,44.04,1455.54,-7.33,51.37,N/A,30.74,3.55,6.53,11.74,14.63,11.85,24.77,24.308,73110000000.0,61240000000.0,,1.31,2.96,17.819,2.96,5600000000.0,17.819,2430000000.0,2.76,77.70,23.80,11870000000.0,13.771,N/A,2.271,13.052,3750000000.0,2.4,0.12,68.80,25680000.0,0.7,3.00,24460000.0,1
2008-01-23 06:28:45,1201066125,aapl,17.87,-36.43,1338.6,-38.18,1.75,N/A,39.59,5.89,9.69,14.56,18.37,12.95,28.52,27.766,136270000000.00002,N/A,,1.43,N/A,N/A,N/A,8150000000.0,N/A,3500000000.0,3.93,66.80,28.50,15390000000.0,17.573,N/A,2.361,16.659,5470000000.0,2.04,0.69,67.10,21290000.0,0.6,2.40,20140000.0,0
